Name,Star,Num. Reviews,Price,Area,Category,Services,Searched City,Avg. Rating,Price Point,Avg. Price
Tavolàta,4.0,343.0,2,First Hill,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.21,30,36.96
Local 360,4.0,3163.0,2,Belltown,"['American (New)', 'Cocktail Bars']",['Takeout'],Seattle,3.96,30,30.5
Café Campagne,4.0,1153.0,2,Downtown,"['French', 'Breakfast & Brunch', 'Cafes']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle,4.2,30,22.75
Katsu-ya Seattle,4.5,89.0,2,South Lake Union,"['Sushi Bars', 'Japanese', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.36,30,34.66
Tamari Bar,4.0,392.0,2,Capitol Hill,['Izakaya'],"['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle,4.24,30,28.91
Taylor Shellfish Oyster Bar,4.0,643.0,2,Lower Queen Anne,"['Seafood', 'Bars', 'Seafood Markets']","['Delivery', 'Takeout']",Seattle,4.14,30,26.82
Art Marble 21,3.5,376.0,2,South Lake Union,"['Cocktail Bars', 'American (New)', 'Venues & Event Spaces']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.32,30,23.23
Cafe Turko,4.5,1082.0,2,Fremont,"['Halal', 'Turkish', 'Mediterranean']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.77,30,36.3
Habitant,4.5,58.0,2,Downtown,"['Tapas/Small Plates', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.69,30,28.76
Biang Biang Noodles,4.0,228.0,2,First Hill,"['Noodles', 'Chinese']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.75,30,24.98
Spice Waala,4.5,205.0,1,Capitol Hill,"['Indian', 'Street Vendors']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.94,15,17.94
The Crab Pot,3.0,2312.0,3,Waterfront,['Seafood'],"['Delivery', 'Takeout']",Seattle,2.98,50,56.02
Tacos Chukis,4.5,1772.0,1,Capitol Hill,['Mexican'],['Takeout'],Seattle,4.27,15,12.72
S/T Hooligans,5.0,244.0,2,Fremont,"['Cajun/Creole', 'Burgers', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.5,30,33.77
Cafe Flora,4.0,1290.0,2,Madison Valley,"['Vegetarian', 'Vegan', 'Gluten-Free']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.99,30,33.24
S/T Hooligans,5.0,244.0,2,Fremont,"['Cajun/Creole', 'Burgers', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,5.0,30,18.73
Karaage Setsuna,4.5,390.0,2,Belltown,"['Japanese', 'Hawaiian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.48,30,11.83
Intermezzo Carmine,4.5,241.0,2,Pioneer Square,"['Cocktail Bars', 'Italian']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.58,30,30.88
Harbor City Restaurant,4.0,1779.0,2,Chinatown,"['Barbeque', 'Dim Sum', 'Cantonese']","['Delivery', 'Takeout']",Seattle,4.44,30,16.75
Skillet Capitol Hill,4.0,2004.0,2,Central District,"['Breakfast & Brunch', 'American (New)']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.87,30,25.78
Ristorante Machiavelli,4.0,875.0,2,Capitol Hill,"['Italian', 'Pizza', 'Desserts']","['Delivery', 'Takeout']",Seattle,3.88,30,23.17
Tilikum Place Cafe,4.5,2091.0,2,Belltown,"['American (New)', 'Breakfast & Brunch', 'Desserts']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.84,30,43.64
Local 360,4.0,3163.0,2,Belltown,"['American (New)', 'Cocktail Bars']",['Takeout'],Seattle,4.17,30,33.74
Qin Xi’an Noodles,4.0,344.0,2,Capitol Hill,"['Chinese', 'Noodles']","['Delivery', 'Takeout']",Seattle,4.2,30,22.05
Pomodoro,4.5,494.0,2,Eastlake,"['Italian', 'Spanish', 'Tapas/Small Plates']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle,4.48,30,15.45
Taylor Shellfish Oyster Bar,4.5,771.0,2,Pioneer Square,"['Seafood', 'Live/Raw Food']",['Waitlist opens at 3:00 pm'],Seattle,4.38,30,32.87
Dead Line,4.5,232.0,2,Pioneer Square,"['Latin American', 'Cocktail Bars', 'Venues & Event Spaces']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle,4.24,30,20.8
Marination,4.0,290.0,2,Denny Triangle,"['Asian Fusion', 'Korean', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.78,30,32.09
Musang Seattle,4.5,158.0,2,Beacon Hill,['Filipino'],"['Outdoor dining', 'Delivery']",Seattle,4.65,30,34.16
Altura,4.5,580.0,4,Capitol Hill,['Italian'],"['Outdoor dining', 'Takeout']",Seattle,4.57,100,140.01
Bar Harbor,4.0,237.0,2,South Lake Union,"['Seafood', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.98,30,32.43
Tacos Chukis,4.5,1772.0,1,Capitol Hill,['Mexican'],['Takeout'],Seattle,4.51,15,11.81
Morfire,4.5,215.0,2,Capitol Hill,"['Thai', 'Hot Pot', 'Bars']","['Delivery', 'Takeout']",Seattle,4.76,30,41.62
Dough Zone - International District,4.0,1098.0,2,Chinatown,"['Shanghainese', 'Dim Sum', 'Noodles']","['Live wait time: 0 mins', 'Delivery', 'Takeout']",Seattle,4.32,30,38.53
Olmstead,4.0,104.0,2,Capitol Hill,"['American (New)', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.04,30,24.5
Fat’s Fried Chicken & Waffles,4.5,631.0,2,Central District,"['Southern', 'Soul Food', 'Waffles']","['Delivery', 'Takeout']",Seattle,4.65,30,33.11
Six Seven Restaurant,4.0,1072.0,3,Interbay,"['American (New)', 'Seafood', 'Cocktail Bars']",['Outdoor dining'],Seattle,3.65,50,58.13
Moon Tree Sushi And Tapas,4.5,199.0,2,Lower Queen Anne,"['Sushi Bars', 'Japanese', 'Tapas Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.48,30,31.81
Le Coin,4.5,258.0,2,Fremont,"['Seafood', 'French', 'American (New)']","['Outdoor dining', 'Takeout']",Seattle,4.39,30,35.77
Damn the Weather,4.0,468.0,2,Pioneer Square,"['Cocktail Bars', 'American (New)']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle,4.26,30,36.7
Kin Len Thai Night Bites,4.5,275.0,2,Fremont,"['Thai', 'Cocktail Bars', 'Noodles']","['Delivery', 'Takeout']",Seattle,4.43,30,29.68
HoneyHole Sandwiches,4.0,1455.0,2,First Hill,"['Bars', 'Sandwiches']","['Outdoor dining', 'Takeout']",Seattle,3.79,30,43.17
Due’ Cucina Italiana - Capitol Hill,4.5,602.0,2,Capitol Hill,"['Italian', 'Pasta Shops']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.46,30,34.14
Reckless Noodle House,4.5,263.0,2,Atlantic,"['Bars', 'Noodles', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.74,30,34.31
